Date,New Cases,New Tests,Hospitalizations,ICU,New Deaths,Rt Rate
2020-07-29,66211,839868,57306,10531,1418,0.964881134624
2020-07-28,53507,733243,57091,10463,1121,0.966060560331
2020-07-27,55134,760840,59023,10328,1059,0.967386177215
2020-07-26,61713,855811,58614,10353,558,0.968888802049
2020-07-25,65413,797589,59227,10380,1037,0.970601325481
2020-07-24,75193,929838,59670,10405,1178,0.972556469769
2020-07-23,71027,824399,59885,10418,1039,0.9747837858499999
2020-07-22,69150,795502,59675,10457,1117,0.9773065126289999
2020-07-21,63642,750248,59362,6711,1038,0.9801394763310001
2020-07-20,56971,711015,58371,6558,362,0.98328950764
2020-07-19,64884,798508,57885,6384,526,0.9867594447750001
2020-07-18,65180,761632,57645,6396,872,0.9905554352949999
2020-07-17,77233,837392,57761,6453,951,0.9946953256899999
2020-07-16,70953,827564,57442,6359,974,0.999214441062
2020-07-15,65382,761997,56144,6317,858,1.00416506602
2020-07-14,62879,769982,55565,6235,736,1.00960782951
2020-07-13,58465,693576,53988,6074,327,1.01559640508
2020-07-12,60978,758324,52727,5930,476,1.02216009277
2020-07-11,63007,698444,51859,5939,757,1.0292901361700002
2020-07-10,66645,810806,51595,5896,854,1.03693387713
2020-07-09,58836,703050,43934,5845,867,1.04499737912
2020-07-08,62147,629102,43078,5874,897,1.0533556125299999
2020-07-07,51766,634791,41760,5832,922,1.06187093825
2020-07-06,41600,501201,39768,5684,242,1.07042032723
2020-07-05,45789,681450,38764,5653,209,1.07892452141
2020-07-04,54734,642171,38146,5633,306,1.0873643100100001
2020-07-03,54223,710949,37798,5597,597,1.0957724418600001
2020-07-02,53826,662316,37500,5626,697,1.1042043832200001
2020-07-01,50674,633286,36405,5512,701,1.11270312154
2020-06-30,47462,624063,35248,5424,596,1.1212725159399999
2020-06-29,39175,646824,33586,5380,330,1.12986471154
2020-06-28,41857,583898,32476,5248,271,1.13838104878
2020-06-27,43783,599386,32483,5315,509,1.14666922308
2020-06-26,44421,606747,31738,5283,636,1.15458606296
2020-06-25,39072,637148,31844,5319,2501,1.16204348342
2020-06-24,38684,519202,31102,5293,724,1.1689959675
2020-06-23,33021,491719,30235,5402,708,1.17544216856
2020-06-22,27017,466605,28799,5323,283,1.18143353726
2020-06-21,27284,511098,28219,5195,292,1.1870488535400001
2020-06-20,31994,559215,27967,5229,628,1.1923161523799999
2020-06-19,31046,573992,28615,5341,655,1.19726146881
2020-06-18,27527,516193,28414,5465,704,1.2018277907500001
2020-06-17,23873,485290,28573,5613,767,1.20587447918
2020-06-16,23435,464529,28270,5570,729,1.209275945
2020-06-15,18510,432811,27867,5703,380,1.21190416959
2020-06-14,21373,485220,27893,5749,355,1.21363246879
2020-06-13,25341,496428,28450,5883,691,1.21432214263
2020-06-12,23477,623125,29154,6017,772,1.21390460856
2020-06-11,22032,459455,29698,6074,898,1.21230836213
2020-06-10,20803,428999,30864,6249,885,1.20945541136
2020-06-09,17175,419724,31183,6457,898,1.20531489518
2020-06-08,17012,395146,31202,6402,660,1.19986047687
2020-06-07,18823,445939,31408,6501,446,1.19311002857
2020-06-06,23106,520251,31938,6762,727,1.18524396283
2020-06-05,23352,506275,32451,6920,823,1.17651994481
2020-06-04,20839,460984,32835,7057,888,1.16724324953
2020-06-03,20312,466714,33269,7227,991,1.15764852765
2020-06-02,19982,418646,33933,7407,959,1.14790918118
2020-06-01,20415,412327,34285,7591,665,1.1380067768100002
2020-05-31,21639,396171,34859,7626,649,1.12780793394
2020-05-30,23762,425754,35732,7956,929,1.11711157997
2020-05-29,23522,487229,36999,8175,1179,1.10571480707
2020-05-28,22601,434470,38069,8389,1226,1.09352593224
2020-05-27,19385,308433,38373,8547,1318,1.0806304813
2020-05-26,16629,305932,37779,8585,640,1.06729916254
2020-05-25,18798,422588,37650,8472,555,1.05392130195
2020-05-24,20105,381505,37695,8487,678,1.04088371924
2020-05-23,21590,390000,38614,8733,1060,1.02844975255
2020-05-22,24555,409088,39989,9048,1335,1.01669335095
2020-05-21,26513,461819,41191,9090,1388,1.0055087650799999
2020-05-20,21319,407159,41762,9522,1392,0.994679957022
2020-05-19,20853,401339,41872,9597,1325,0.983978945208
2020-05-18,20992,354713,41748,9755,844,0.9732635404369999
2020-05-17,20171,371154,41785,9932,846,0.96254739925
2020-05-16,24701,362120,43396,10277,984,0.952017146793
2020-05-15,24710,358323,44491,10472,1502,0.941984319701
2020-05-14,26705,364074,45790,10656,1871,0.9327893746860001
2020-05-13,21193,319041,46926,10978,1696,0.924702372104
2020-05-12,22663,308555,47596,11241,1472,0.917863773121
2020-05-11,18236,382123,46552,11147,887,0.9122792810379999
2020-05-10,21504,266330,47163,11393,1024,0.907852636139
2020-05-09,24810,291609,48768,11496,1432,0.904430508628
2020-05-08,27605,297850,49992,11780,1779,0.901841085065
2020-05-07,27490,301644,51683,12137,2740,0.89991951495
2020-05-06,25056,244833,52773,12478,1932,0.898521045612
2020-05-05,22449,271471,53455,12629,2445,0.897525506191
2020-05-04,22523,231456,52634,12696,1012,0.896836787966
2020-05-03,25767,236514,52857,12722,1206,0.896379962632
2020-05-02,29185,247084,54278,12904,1541,0.896097639528
2020-05-01,33056,295226,55122,12845,1753,0.8959464007260001
2020-04-30,29568,232808,55114,13255,2117,0.895893683226
2020-04-29,26641,238605,56206,13535,2692,0.8959152133220001
2020-04-28,25219,206614,56255,13562,2042,0.8959929753010001
2020-04-27,22605,195400,56191,13812,1237,0.89611364286
2020-04-26,27380,206288,56186,14099,1188,0.896274464522
2020-04-25,35901,276150,57377,14414,1714,0.896464344369
2020-04-24,34174,235857,57300,14602,1865,0.896682440031
2020-04-23,31784,192810,58989,14744,1764,0.896921156608
2020-04-22,28916,323483,59205,15015,2065,0.897164356782
2020-04-21,26333,152834,59780,14941,2429,0.897474089785
2020-04-20,25872,145688,56783,14489,1765,0.897812057085
2020-04-19,27468,153930,56526,14410,1733,0.898193091409
2020-04-18,27963,145834,57761,14768,1837,0.898596428017
2020-04-17,31964,158684,58895,14890,2077,0.898980436786
2020-04-16,30923,163798,59499,15130,2141,0.8995076241859999
2020-04-15,30298,136982,59940,14647,2486,0.900136074685
2020-04-14,25631,151772,59601,14039,2287,0.9008507169939999
2020-04-13,25133,134183,56195,13632,1572,0.9016307060240001
2020-04-12,27844,138917,55426,13623,1630,0.902404597612
2020-04-11,30561,136987,55572,13280,1982,0.903288860328
2020-04-10,34351,158393,52723,12698,2055,0.9043075367260001
2020-04-09,34419,171058,50859,12254,1972,0.9054904032709999
2020-04-08,30534,147488,45141,10180,1944,0.9068744561959999
2020-04-07,30737,154242,43465,9821,1956,0.9085058360100001
2020-04-06,28937,152008,35856,6943,1254,0.9104423436650001
2020-04-05,25550,119655,31875,5677,1285,0.912756762985
2020-04-04,33252,229193,29987,5383,1440,0.9155412921170001
2020-04-03,31945,132890,25472,4811,1259,0.9189135120190001
2020-04-02,27992,118851,22764,4410,1149,0.9230244933830001
2020-04-01,25773,108521,20775,3937,988,0.928069871027
2020-03-31,24694,112330,18082,3487,861,0.934304985201
2020-03-30,21897,118461,15772,3087,577,0.942065442325
2020-03-29,19655,87612,14026,2456,516,0.951794509276
2020-03-28,19724,106870,12350,2174,519,0.964078214683
2020-03-27,19044,102656,10932,1792,401,0.979687061305
2020-03-26,17656,101815,7757,1299,311,0.999618484966
2020-03-25,12873,84394,5062,,232,1.0251250387000002
2020-03-24,10632,69137,3902,,231,1.0576996172700002
2020-03-23,11442,58148,2770,,97,1.09897619642
2020-03-22,9259,45473,2155,,143,1.1505075872600001
2020-03-21,6885,45333,1436,,61,1.2134201635600002
2020-03-20,6255,36662,1042,,68,1.28801774969
2020-03-19,4671,28081,617,,46,1.37346515868
2020-03-18,3171,25064,416,,31,1.4676686913199999
2020-03-17,3613,17320,325,,22,1.56739819519
2020-03-16,1569,17924,,,21,1.66863151338
2020-03-15,1251,7604,,,15,1.7670728361599999
2020-03-14,915,4610,,,9,1.8587673801900002
2020-03-13,1025,9171,,,4,1.94068457477
2020-03-12,682,5310,,,8,2.01110501798
2020-03-11,527,3818,,,6,2.06968261868
2020-03-10,441,2490,,,2,2.1171814376299998
2020-03-09,367,1773,,,4,2.15503192191
2020-03-08,267,874,,,4,2.1848978823299996
2020-03-07,220,798,,,1,2.20837492689
2020-03-06,141,786,,,6,2.2268392957
2020-03-05,153,617,,,4,2.24140666712
2020-03-04,187,1098,,,2,2.2529502630700002
2020-03-03,100,243,,,3,2.26214147088
2020-03-02,82,194,,,3,2.269493208
2020-03-01,89,86,,,3,2.27539768256
